name,description,source,duration,variation,Type,optionalResourceAndAmount,baseDiceAdjustment,dicePoolModifier,penetration,ranges,usesPerRound,optionalAreaOfEffects,damageTypes,governingSkillName
Two-handed Water Magic 9mm Automatic Pistol,"Glock 18, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic 9mm Automatic Pistol,"Mana, 4",+0,+3d6,5,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Rapid,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Dual-wielded Water Magic 9mm Automatic Pistol,"Glock 18, ect...",Water Magic,1 Combat Round,Dual-wielded,Water Magic 9mm Automatic Pistol,"Mana, 4",+0,+4d6,5,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Rapid,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
One-handed Water Magic 12 Gauge Pump-action Shotgun,"Remington 870, Mossberg 500, ect...",Water Magic,1 Combat Round,One-handed,Water Magic 12 Gauge Pump-action Shotgun,"Mana, 4",+0,+1d6,5,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Two-handed Water Magic 12 Gauge Pump-action Shotgun,"Remington 870, Mossberg 500, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic 12 Gauge Pump-action Shotgun,"Mana, 4",+0,+3d6,5,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
One-handed Water Magic 5.56 Semi-automatic Rifle,"AR-15, ect...",Water Magic,1 Combat Round,One-handed,Water Magic 5.56 Semi-automatic Rifle,"Mana, 5",+0,+1d6,6,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Swift +2,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Two-handed Water Magic 5.56 Semi-automatic Rifle,"AR-15, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic 5.56 Semi-automatic Rifle,"Mana, 5",+0,+3d6,6,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Swift +2,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
One-handed Water Magic 5.56 Burst Rifle,"M16A2, ect...",Water Magic,1 Combat Round,One-handed,Water Magic 5.56 Burst Rifle,"Mana, 5",+0,+2d6,6,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Swift +2,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Two-handed Water Magic 5.56 Burst Rifle,"M16A2, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic 5.56 Burst Rifle,"Mana, 5",+0,+4d6,6,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Swift +2,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
One-handed Water Magic 5.56 Automatic Rifle,"M4, ect...",Water Magic,1 Combat Round,One-handed,Water Magic 5.56 Automatic Rifle,"Mana, 5",+0,+2d6,6,"Distant (Normal), Distant (Disadvantage), Distant (Super Disadvantage)",Rapid,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Two-handed Water Magic 5.56 Automatic Rifle,"M4, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic 5.56 Automatic Rifle,"Mana, 5",+0,+4d6,6,"Distant (Normal), Distant (Disadvantage), Distant (Super Disadvantage)",Rapid,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
One-handed Water Magic .308 Bolt Action Rifle,"Remington M700, ect...",Water Magic,1 Combat Round,One-handed,Water Magic .308 Bolt Action Rifle,"Mana, 5",+0,+1d6,7,"Sniper (Normal), Sniper (Disadvantage), Sniper (Super Disadvantage)",Quick,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Two-handed Water Magic .308 Bolt Action Rifle,"Remington M700, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic .308 Bolt Action Rifle,"Mana, 5",+0,+4d6,7,"Sniper (Normal), Sniper (Disadvantage), Sniper (Super Disadvantage)",Quick,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
One-handed Water Magic 5.56 Machine Gun,"M249, ect...",Water Magic,1 Combat Round,One-handed,Water Magic 5.56 Machine Gun,"Mana, 6",+0,-2d,6,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Rapid,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Two-handed Water Magic 5.56 Machine Gun,"M249, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic 5.56 Machine Gun,"Mana, 6",+0,+4d6,6,"Extreme (Normal), Extreme (Disadvantage), Extreme (Super Disadvantage)",Rapid,None,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
One-handed Water Magic RPG Launcher,"RPG-7, ect...",Water Magic,1 Combat Round,One-handed,Water Magic RPG Launcher,"Mana, 6",+0,-2d,10,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Paced,30 ft Sphere,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Two-handed Water Magic RPG Launcher,"RPG-7, ect...",Water Magic,1 Combat Round,Two-handed,Water Magic RPG Launcher,"Mana, 6",+0,+6d6,10,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Paced,30 ft Sphere,"Fatigue, Slash, Bludgeon, Pierce",Water Magic
Dual-wielded Electricity Magic Unarmed,Just your bare hands. Can be used in a Grapple.,Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Unarmed,"Mana, 0",+0,-1d,0,Melee,Swift,None,Electric,Electricity Magic
One-handed Electricity Magic Brutal Close Melee,"Daggers, shortswords, claws, ect... Can be used in a Grapple.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Brutal Close Melee,"Mana, 1",+1,+0d6,0,Melee,Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Brutal Close Melee,"Daggers, shortswords, claws, ect... Can be used in a Grapple.",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Brutal Close Melee,"Mana, 1",+1,+1d6,0,Melee,Swift +1,None,Electric,Electricity Magic
One-handed Electricity Magic Balanced Close Melee,"Small warpick, daggers, shortswords, claws, ect... Can be used in a Grapple.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Balanced Close Melee,"Mana, 1",+0,+0d6,1,Melee,Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Balanced Close Melee,"Small warpick, daggers, shortswords, claws, ect... Can be used in a Grapple.",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Balanced Close Melee,"Mana, 1",+0,+1d6,1,Melee,Swift +1,None,Electric,Electricity Magic
One-handed Electricity Magic Penetrating Close Melee,"Small club, crowbars, gauntlets, ect... Can be used in a Grapple.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Penetrating Close Melee,"Mana, 1",-1,+0d6,2,Melee,Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Penetrating Close Melee,"Small club, crowbars, gauntlets, ect... Can be used in a Grapple.",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Penetrating Close Melee,"Mana, 1",-1,+1d6,2,Melee,Swift +1,None,Electric,Electricity Magic
One-handed Electricity Magic Brutal Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Brutal Medium Melee,"Mana, 1",+1,+1d6,1,Melee,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Medium Melee,"Bastard Sword, Medium swords with two-handed grips, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Medium Melee,"Mana, 1",+1,+2d6,1,Melee,Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Brutal Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Brutal Medium Melee,"Mana, 1",+1,+2d6,1,Melee,Swift +1,None,Electric,Electricity Magic
One-handed Electricity Magic Balanced Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, War pick, war hammer's spike, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Balanced Medium Melee,"Mana, 1",+0,+1d6,2,Melee,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Medium Melee,"Bastard Sword, Medium swords with two-handed grips, War pick, war hammer's spike, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Medium Melee,"Mana, 1",+0,+2d6,2,Melee,Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Balanced Medium Melee,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, War pick, war hammer's spike, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Balanced Medium Melee,"Mana, 1",+0,+2d6,2,Melee,Swift +1,None,Electric,Electricity Magic
One-handed Electricity Magic Penetrating Medium Melee,"War hammer, mace, large creature smash, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Penetrating Medium Melee,"Mana, 1",-1,+1d6,3,Melee,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Medium Melee,"War hammer, mace, large creature smash, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Medium Melee,"Mana, 1",-1,+2d6,3,Melee,Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Penetrating Medium Melee,"War hammer, mace, large creature smash, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Penetrating Medium Melee,"Mana, 1",-1,+2d6,3,Melee,Swift +1,None,Electric,Electricity Magic
One-handed Electricity Magic Medium Spear,"Javelin, short spear, large creature horns, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Medium Spear,"Mana, 1",+2,+1d6,2,Melee,Quick,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Medium Spear,"Javelin, short spear, large creature horns, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Medium Spear,"Mana, 1",+2,+2d6,2,Melee,Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Whip,"Bullwhips, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Whip,"Mana, 1",+0,+0d6,0,Reach,Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Whip,"Bullwhips, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Whip,"Mana, 1",+0,+1d6,0,Reach,Swift +1,None,Electric,Electricity Magic
One-handed Electricity Magic Brutal Large Melee,"Longsword, Ōdachi, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Brutal Large Melee,"Mana, 1",+1,+0d6,1,Melee,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Large Melee,"Longsword, Ōdachi, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Large Melee,"Mana, 1",+1,+2d6,2,Melee,Swift,None,Electric,Electricity Magic
One-handed Electricity Magic Balanced Large Melee,"Longsword, Ōdachi, Bec de corbin spike, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Balanced Large Melee,"Mana, 1",+0,+0d6,2,Melee,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Large Melee,"Longsword, Ōdachi, Bec de corbin spike, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Large Melee,"Mana, 1",+0,+2d6,3,Melee,Swift,None,Electric,Electricity Magic
One-handed Electricity Magic Penetrating Large Melee,"Two-handed Mace, maul, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Penetrating Large Melee,"Mana, 1",-1,+0d6,3,Melee,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Large Melee,"Two-handed Mace, maul, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Large Melee,"Mana, 1",-1,+2d6,4,Melee,Swift,None,Electric,Electricity Magic
One-handed Electricity Magic Large Spear,"Two-handed spear, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Large Spear,"Mana, 1",+2,+0d6,2,Melee,Quick,None,Electric,Electricity Magic
Two-handed Electricity Magic Large Spear,"Two-handed spear, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Large Spear,"Mana, 1",+2,+2d6,3,Melee,Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Brutal Reach Melee,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Brutal Reach Melee,"Mana, 2",+1,-1d,1,Reach,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Reach Melee,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Reach Melee,"Mana, 2",+1,+3d6,2,Reach,Swift,None,Electric,Electricity Magic
One-handed Electricity Magic Balanced Reach Melee,"Greatsword, zweihänder, naginata, halberd's spike, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Balanced Reach Melee,"Mana, 2",+0,-1d,2,Reach,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Reach Melee,"Greatsword, zweihänder, naginata, halberd's spike, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Reach Melee,"Mana, 2",+0,+3d6,3,Reach,Swift,None,Electric,Electricity Magic
One-handed Electricity Magic Penetrating Reach Melee,"Poleaxe hammer, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Penetrating Reach Melee,"Mana, 2",-1,-1d,3,Reach,Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Reach Melee,"Poleaxe hammer, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Reach Melee,"Mana, 2",-1,+3d6,4,Reach,Swift,None,Electric,Electricity Magic
One-handed Electricity Magic Reach Spear,"Pike, lance, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Reach Spear,"Mana, 2",+2,-1d,2,Reach,Steady,None,Electric,Electricity Magic
Two-handed Electricity Magic Reach Spear,"Pike, lance, ect... Disadvantage while in confined spaces.",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Reach Spear,"Mana, 2",+2,+3d6,3,Reach,Steady,None,Electric,Electricity Magic
One-handed Electricity Magic Thrown Brutal Close Melee,"Ninja stars, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Thrown Brutal Close Melee,"Mana, 0",+1,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Thrown Brutal Close Melee,"Ninja stars, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Thrown Brutal Close Melee,"Mana, 0",+1,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Thrown Balanced Close Melee,"Throwing daggers, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Thrown Balanced Close Melee,"Mana, 0",+0,+0d6,1,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Thrown Balanced Close Melee,"Throwing daggers, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Thrown Balanced Close Melee,"Mana, 0",+0,+1d6,1,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Thrown Penetrating Close Melee,"Thrown small club, rocks, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Thrown Penetrating Close Melee,"Mana, 0",-1,+0d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Thrown Penetrating Close Melee,"Thrown small club, rocks, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Thrown Penetrating Close Melee,"Mana, 0",-1,+1d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Thrown Medium Spear,"Thrown Javelins, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Thrown Medium Spear,"Mana, 0",+0,+1d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Thrown Large Spear,Thrown two-handed spears.,Electricity Magic,1 Combat Round,One-handed,Electricity Magic Thrown Large Spear,"Mana, 0",+0,+1d6,3,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Sling with Standard Sling Bullet,A flexible strap used to hurl small objects.,Electricity Magic,1 Combat Round,One-handed,Electricity Magic Sling,"Mana, 0",+0,+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Brutal Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,One-handed,Electricity Magic Brutal Hand Crossbow,"Mana, 1",+1,+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Hand Crossbow,"Mana, 1",+1,+0d6,0,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Brutal Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Brutal Hand Crossbow,"Mana, 1",+1,+1d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None,Electric,Electricity Magic
One-handed Electricity Magic Balanced Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,One-handed,Electricity Magic Balanced Hand Crossbow,"Mana, 1",+0,+0d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Hand Crossbow,"Mana, 1",+0,+0d6,1,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Balanced Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Balanced Hand Crossbow,"Mana, 1",+0,+1d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None,Electric,Electricity Magic
One-handed Electricity Magic Penetrating Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,One-handed,Electricity Magic Penetrating Hand Crossbow,"Mana, 1",-1,+0d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Hand Crossbow,"Mana, 1",-1,+0d6,2,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Penetrating Hand Crossbow,Small crossbows designed to be held in one hand.,Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Penetrating Hand Crossbow,"Mana, 1",-1,+1d6,2,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None,Electric,Electricity Magic
One-handed Electricity Magic Brutal Light Crossbow,"Crossbows balancing power and reload time. ",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Brutal Light Crossbow,"Mana, 1",+1,+0d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Light Crossbow,"Crossbows balancing power and reload time. ",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Light Crossbow,"Mana, 1",+1,+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Electric,Electricity Magic
One-handed Electricity Magic Balanced Light Crossbow,"Crossbows balancing power and reload time. ",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Balanced Light Crossbow,"Mana, 1",+0,+0d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Light Crossbow,"Crossbows balancing power and reload time. ",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Light Crossbow,"Mana, 1",+0,+1d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Electric,Electricity Magic
One-handed Electricity Magic Penetrating Light Crossbow,"Crossbows balancing power and reload time. ",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Penetrating Light Crossbow,"Mana, 1",-1,+0d6,3,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Light Crossbow,"Crossbows balancing power and reload time. ",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Light Crossbow,"Mana, 1",-1,+1d6,3,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Heavy Crossbow,Crossbows designed for maximum power disregarding reload time.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Heavy Crossbow,"Mana, 1",+1,+2d6,2,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Heavy Crossbow,Crossbows designed for maximum power disregarding reload time.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Heavy Crossbow,"Mana, 1",+0,+2d6,3,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Heavy Crossbow,Crossbows designed for maximum power disregarding reload time.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Heavy Crossbow,"Mana, 1",-1,+2d6,4,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Light Bow,Bows favoring easier drawing versus power.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Light Bow,"Mana, 1",+1,+1d6,0,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Light Bow,Bows favoring easier drawing versus power.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Light Bow,"Mana, 1",+0,+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Light Bow,Bows favoring easier drawing versus power.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Light Bow,"Mana, 1",-1,+1d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,Electric,Electricity Magic
Two-handed Electricity Magic Brutal Heavy Bow,Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Brutal Heavy Bow,"Mana, 2",+1,+2d6,1,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Two-handed Electricity Magic Balanced Heavy Bow,Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Balanced Heavy Bow,"Mana, 2",+0,+2d6,2,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,Electric,Electricity Magic
Two-handed Electricity Magic Penetrating Heavy Bow,Bows favoring power over easier drawing. Requires a minimum of 1 STR to draw.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Penetrating Heavy Bow,"Mana, 2",-1,+2d6,3,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,Electric,Electricity Magic
One-handed Electricity Magic Muzzleloading Pistol,"Flintlock pistols, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic Muzzleloading Pistol,"Mana, 3",+0,+2d6,3,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Extremely Slow,None,Electric,Electricity Magic
Two-handed Electricity Magic Muzzleloading Pistol,"Flintlock pistols, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Muzzleloading Pistol,"Mana, 3",+0,+2d6,3,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Extremely Slow,None,Electric,Electricity Magic
Dual-wielded Electricity Magic Muzzleloading Pistol,"Flintlock pistols, ect...",Electricity Magic,1 Combat Round,Dual-wielded,Electricity Magic Muzzleloading Pistol,"Mana, 3",+0,+3d6,3,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Painfully Slow,None,Electric,Electricity Magic
One-handed Electricity Magic Arquebus,Can be used as a Combat Roll.,Electricity Magic,1 Combat Round,One-handed,Electricity Magic Arquebus,"Mana, 3",+0,+0d6,4,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Electric,Electricity Magic
Two-handed Electricity Magic Arquebus,Can be used as a Combat Roll.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Arquebus,"Mana, 3",+0,+2d6,4,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,Electric,Electricity Magic
One-handed Electricity Magic Musket,Flintlock smoothbore long guns.,Electricity Magic,1 Combat Round,One-handed,Electricity Magic Musket,"Mana, 3",+0,+0d6,5,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None,Electric,Electricity Magic
Two-handed Electricity Magic Musket,Flintlock smoothbore long guns.,Electricity Magic,1 Combat Round,Two-handed,Electricity Magic Musket,"Mana, 3",+0,+3d6,5,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Painfully Slow,None,Electric,Electricity Magic
One-handed Electricity Magic 9mm Semi-automatic Pistol,"Glock 17, ect...",Electricity Magic,1 Combat Round,One-handed,Electricity Magic 9mm Semi-automatic Pistol,"Mana, 4",+0,+2d6,5,"Extended (Normal), Extended (Disadvantage), Extended (Super Disadvantage)",Swift +2,None,Electric,Electricity Magic
Two-handed Electricity Magic 9mm Semi-automatic Pistol,"Glock 17, ect...",Electricity Magic,1 Combat Round,Two-handed,Electricity Magic 9mm Semi-automatic Pistol,"Mana, 4",+0,+2d6,5,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift +2,None,Electric,Electricity Magic
