name,quantity,effects,weight,value,description
Dancing Moonlight,1,"Large Pierce Melee (One-handed) (+12), Large Pierce Melee (Two-handed) (+12), Large Slash Melee (One-handed) (+12), Large Slash Melee (Two-handed) (+12), Reach Pierce Melee (One-handed) (+12), Reach Pierce Melee (Two-handed) (+12), Reach Slash Melee (One-handed) (+12), Reach Slash Melee (Two-handed) (+12), Spellcasting Focus, Moonlight Greatsword, Indestructible, Blessing of the Moon",3,?,"""Ah, you were at my side all along. My true mentor. My guiding moonlight."" - Unknown

A mythic arcane longsword discovered by the first Sirens who first inhabited what is known as Reddland today. Said to be a sign of divine favor to those chosen by the Moon Presence of Terra. As a manifestation of the Moon Presence on Terra, the wielder gains access to the wisdom and power of the moon presence.

When moonlight dances around the sword, and it channels the abyssal cosmos, its great blade will hurl a shadowy lightwave. Few have ever set eyes on the great blade, and whatever guidance it has to offer, it seems to be of a very private, elusive sort.

Princess Vex'ahlia Reddington was gifted this sword upon her return to Reddland by her mother, who claimed it was her birth right. Lady Reddington used to tell tales of Vex'ahlia's birth. Lady Reddington wanted nothing more than a child, so when her medical and academic knowledge failed her, she prayed to the Moon Presence to protect the unborn child within her. Vex'ahlia was born with white hair the color of the full moon. One night when Lady Veronica went to check on the baby Vex'ahlia, this sword was leaning up against her crib playing the most wonderful lullaby she'd ever heard."
Adversary - Damaged,1,"Spellcasting Focus, Light Bound",1,?,"""Awake, arise, or be forever Fallen…"" - Words of the Bright Lord

A masterfully crafted golden sword hilt, that appears to be damaged from a tremendous impact, leaving the hilt crack and leaking light. Used as a radiance Spellcasting Focus to focus ones abilities, generally in the shape of a sword blade.

Sword of Luc Lightbringer. The hilt acts as a Miracles focus, allowing for devastating radiant attack. Luc has had this sword his entire life, a mysterious gift from when he was too young to remember. In many ways, this sword and Luc are one in the same. Elegant, bright, and extremely dangerous. Luc has spent his entire entire life learning the abilities of this artifact, though even he does not fully understand the weapon…

This sword was used in the execution of Helena by Uhtred Storm at Luc's order, though it was only used to subdue her and did not deal the final blow."
Guardian Shield,1,"Shield, Phy. Def. 2.00, Retractable Shield",8,7 bc,"A medium shield capable of retracting into a small wrist item. This type of retractable shield is common across Terra, surviving as an easy means to always have a shield at one's disposal."
Sharp Cap,1,"Small Slash Melee (-1) (One-handed), (Dual-wielded) Small Slash Melee (-1)",0.5,2 bc,
Net,1,,3,1 bc,
Bodkin Knife,1,"(One-handed) Small Pierce Melee (+0), (Dual-wielded) Small Pierce Melee (+0), (One-handed) Small Slash Melee (+0), (Dual-wielded) Small Slash Melee (+0), Thrown (One-handed) Small Pierce Melee (+0), Thrown (Dual-wielded) Small Pierce Melee (+0), Resource Pool: Thrown Small Pierce Melee (+0)",1,2 bc,
War Axe,1,"Large Hew Melee (One-handed) (+0), Large Hew Melee (Two-handed) (+0)",5,5 bc,
Asher’s Arms Bollock Dagger,1,"(One-handed) Small Pierce Melee (+5), (Dual-wielded) Small Pierce Melee (+5), (One-handed) Small Slash Melee (+5), (Dual-wielded) Small Slash Melee (+5), Thrown (One-handed) Small Pierce Melee (+5), Thrown (Dual-wielded) Small Pierce Melee (+5), Resource Pool: Thrown Small Pierce Melee (+5)",1,10 bc,
Dragon Torch,1,"(One-handed) Small Torch (+12), (Dual-wielded) Small Torch (+12), Spellcasting Focus",3,9999 bc,
Shovel,1,"Large Bludgeon Melee (-1) (One-handed), Large Bludgeon Melee (Two-handed) (-1)",5,2 bc,
Excellent Light Longbow,1,Light Bow (Two-handed) (+3),2,25 bc,
Quality Swordbreaker,1,"(One-handed) Small Slash Melee (+1), (Dual-wielded) Small Slash Melee (+1), Small Pierce Melee (-1) (One-handed), (Dual-wielded) Small Pierce Melee (-1), Thrown Small Pierce Melee (-1) (One-handed), Thrown (Dual-wielded) Small Pierce Melee (-1), Resource Pool: Thrown Small Pierce Melee (-1), Swordbreaker Blade Catch",1,28 bc,
Torch,1,"(One-handed) Small Torch (+0), (Dual-wielded) Small Torch (+0)",1,1 cc,
Shiv,1,"Small Pierce Melee (-1) (One-handed), (Dual-wielded) Small Pierce Melee (-1), Small Slash Melee (-1) (One-handed), (Dual-wielded) Small Slash Melee (-1), Thrown Small Pierce Melee (-1) (One-handed), Thrown (Dual-wielded) Small Pierce Melee (-1), Resource Pool: Thrown Small Pierce Melee (-1)",1,70 cc,
Shoddy Club,1,"Shoddy (One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0), Shoddy Thrown (One-handed) Small Bludgeon Melee (+0), Thrown (Dual-wielded) Small Bludgeon Melee (+0), Resource Pool: Thrown Small Bludgeon Melee (+0)",2,10 cc,
Caestus,1,"(One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0)",2,1.66 bc,
Spiked Caestus,1,"(One-handed) Small Pierce Melee (+0), (Dual-wielded) Small Pierce Melee (+0)",2,3 bc,
,,,,,
Gambeson Armor,1,Gambeson Armor Defense,8,5 bc,
Gambeson Coat,1,Gambeson Body/Arm Defense,5,3.13 bc,
Gambeson Leggings,1,Gambeson Leg Defense,3,1.87 bc,
,,,,,
Leather Armor,1,Leather Armor Defense,12,10 bc,
Leather Helmet,1,Leather Head Defense,2,1.67 bc,
Leather Cuirass and Pauldrons,1,Leather Body Defense,6,5 bc,
Leather Cuisses and Greaves,1,Leather Leg Defense,2,1.66 bc,
Leather Vambrace,1,Leather Arm Defense,2,1.67 bc,
,,,,,
Chainmail Armor,1,"Chainmail Armor Defense, (One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0)",47,75 bp,
Chainmail Coif,1,Chainmail Head Defense,6,9.57 bc,
Chainmail Short-sleeved Hauberk,1,Chainmail Body Defense,18,28.72 bc,
Chainmail Chausses,1,Chainmail Leg Defense,11,17.55 bc,
Chainmail Sleeves/Mittens,1,"Chainmail Arm Defense, (One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0)",12,19.16 bc,
,,,,,
Brigandine Armor,1,"Brigandine Armor Defense, (One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0)",52,200 bc,
Half Helm,1,Brigandine Head Defense,5,19.23 bc,
Brigandine Cuirass and Pauldrons,1,Brigandine Body Defense,22,84.62 bc,
Brigandine Cuisses and Greaves,1,Brigandine Leg Defense,13,50 bc,
Brigandine Vambrace and Gauntlets,1,"Brigandine Arm Defense, (One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0)",12,46.15 bc,
,,,,,
Plate Armor,1,"Plate Armor Defense, (One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0)",57,1495 bc,
Plate Full Helm,1,Plate Head Defense,6,157.37 bc,
Plate Cuirass and Pauldrons,1,Plate Body Defense,23,603.24 bc,
Plate Cuisses and Greaves,1,Plate Leg Defense,14,367.19 bc,
Plate Vambrace and Gauntlets,1,"Plate Leg Defense, (One-handed) Small Bludgeon Melee (+0), (Dual-wielded) Small Bludgeon Melee (+0)",14,367.19 bc,
,,,,,
Buckler Shield,1,Small Shield,4,2 bc,
Targe Shield,1,Small Shield,4,2 bc,
Parma Shield,1,Small Shield,4,2 bc,
Kite Shield,1,Medium Shield,8,7 bc,
Hoplon Shield,1,Medium Shield,8,7 bc,
Pavise Shield,1,Medium Shield,8,7 bc,
Heater Shield,1,Medium Shield,8,7 bc,
Kite Shield (Dawn Emp. Crest),1,Medium Shield,8,30 bc,
Tower Shield,1,Large Shield,25,150 bc,
Mantlet,1,Massive Shield,90,17 bc,
,,,,,
Amulet Of Reflection,1,Apparel Storage,0.2,?,"""By failing to prepare, you are preparing to fail"" - Serana Reddington

First commissioned by Serana Reddington, never wanting to go with her plate."
Arsenal Charm,1,Minorly Enhanced Lift,0.2,?,"An iron charm that resembles a mass of weapons.

Minorly oosts maximum equipment load.

This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance."
Arsenal Charm +1,1,Enhanced Lift,0.2,?,"An iron charm that resembles a mass of weaponry.

Boosts maximum equipment load.

This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance."
Assassin's Azulian Talisman,1,Magic Resource Leech,0.2,?,"An assassin's dagger, misshapen and stained in azul."
Assassin's Crimson Talisman,1,Life Leech,0.2,?,"An assassin's dagger, misshapen and stained in crimson."
Azulian Talisman,1,Minorly Enhanced Magic Resource,0.2,?,"A medallion with azul inlaid.

Minorly boosts maximum magic resource."
Azulian Talisman +1,1,Enhanced Magic Resource,0.2,?,"A medallion with azul inlaid.

Boosts maximum magic resource."
Azulian Talisman +2,1,Greatly Enhanced Magic Resource,0.2,?,"A medallion with azul inlaid.

Greatly boosts maximum magic resource."
Blessed Dew Talisman,1,Minor Healing Factor,0.2,?,"It is the common knowledge that the dew of the morning has special healing properties. This amulet is crafted with condensed morning dew, allowing it to provide subtle mending properties to those that wear it. A favorite of explorers and travelers."
Claw Talisman,1,Ariel Assassin,0.2,?,A talisman depicting claws and an assassin.
Concealing Viel,1,Minorly Enhanced Stealth,0.2,?,"Talisman put together from dark cloth, with a lustrous sheen.

Conceals the wearer's presence, becoming slightly transparent at will.

A common talisman of assassins."
Crimson Medallion,1,Minorly Enhanced Vitality,0.2,?,"A medallion with Crimson amber inlaid. A precious talisman for protecting one's life.

Minorly boosts maximum vitality."
Crimson Medallion +1,1,Enhanced Vitality,0.2,?,"A medallion with Crimson amber inlaid. A precious talisman for protecting one's life.

Boosts maximum vitality."
Crimson Medallion +2,1,Great Enhanced Vitality,0.2,?,"A medallion with Crimson amber inlaid. A precious talisman for protecting one's life. An essential tool of kings and queens looking for an edge in surviving assassination attempts.

Greatly boosts maximum vitality."
Dagger Talisman,1,Enhanced Critical,0.2,?,"A talisman depicting a dagger and a surgeon.

Enhances critical hits for sneak attack and Physically Incapacitated opponents.

The white-garbed field surgeons come to the aid of friend and foe alike by dealing a final deadly thrust to spare them from the prolonged agony of a mortal wound. A sense of mercy is a catalyst for bloodlust."
Fire Dragon Scale Talisman,1,Minor Fire Resistance,0.2,?,A metal talisman with a symbol evoking the image of fire on it. This Runecrafted item provides resistance to heat and fire to those that wear it.
Fire Dragon Scale Talisman +1,1,Medium Fire Resistance,0.2,?,A metal talisman with twin symbols evoking the image of fire on it. This more powerful Runecrafted item provides substantial protection against fire and heat to those that wear it.
Fire Dragon Scale Talisman +2,1,Major Fire Resistance,0.2,?,"A metal talisman with three symbols evoking the image of fire on it. This Runecrafted item gives its wearer nigh immunity to most common blazes, allowing its wearer to do some things like stand in fires or eat burning rods without being injured."
Frost Dragon Scale Talisman,1,Minor Cold Resistance,0.2,?,
Frost Dragon Scale Talisman +1,1,Medium Cold Resistance,0.2,?,
Frost Dragon Scale Talisman +2,1,Major Cold Resistance,0.2,?,
Great Arsenal Talisman,1,Greatly Enhanced Lift,0.2,?,"A charm that resembles a great jar overflowing with weaponry.

Greatly boosts maximum equipment load."
Great Steel Dragon Scale Talisman,1,"Extreme Hew Resistance, Extreme Slash Resistance, Extreme Bludgeon Resistance, Extreme Shockwave Resistance",0.2,?,"A larger wrought iron talisman in the shape of a greatshield with an imposing Steel Dragon emblazoned on its face. These talismans are extremely rare and expensive to make, meaning that only the upper echelons of society have access to them. Often worn by extremely wealthy merchants, royalty and even the Emperor, these powerful Runecrafted items often never see the battlefield they were intended for."
Green Turtle Talisman,1,Minorly Enhanced Endurance,0.2,?,"A talisman in the shape of a green turtle.

Minorly raises stamina recovery speed.

Turtles are known as a nutritious ingredient, symbolic of inexhaustible power.

However, those who hold turtles to be wise creatures consider the practice of eating their meat to be barbarous."
Lightning Dragon Scale Talisman,1,Minor Lightning Resistance,0.2,?,A metal talisman with a symbol evoking the image of lightning on it. This Runecrafted item provides some resistance to electricity and shocks to those that wear it.
Lightning Dragon Scale Talisman +1,1,Medium Lightning Resistance,0.2,?,A metal talisman with two symbols evoking the image of lightning on it. This more powerful Runecrafted item provides substantial protection against electricity and shocks to those that wear it.
Lightning Dragon Scale Talisman +2,1,Major Lightning Resistance,0.2,?,"A metal talisman with three symbols evoking the image of lightning on it. This Runecrafted item gives its wearer nigh immunity to most common shocks, allowing its wearer to do some things like be struck by lightning with low risk of being injured."
Longtail Cat Talisman,1,Minorly Enhanced Dexterity,0.2,?,A brooch depicting a long-tailed cat.
Pearl Dragon Scale Talisman,1,Minor Psychic Resistance,0.2,?,
Pearl Dragon Scale Talisman +1,1,Medium Psychic Resistance,0.2,?,
Pearl Dragon Scale Talisman +2,1,Major Psychic Resistance,0.2,?,
Radiant Dragon Scale Talisman,1,Minor Radiant Resistance,0.2,?,
Radiant Dragon Scale Talisman +1,1,Medium Radiant Resistance,0.2,?,
Radiant Dragon Scale Talisman +2,1,Major Radiant Resistance,0.2,?,
Rejuvenation Talisman,1,Enhanced Healing,0.2,?,A talisman made to enhance the healing process. A precious possession of doctors and healers.
Steel Dragon Scale Talisman,1,"Minor Hew Resistance, Minor Slash Resistance, Minor Bludgeon Resistance, Minor Shockwave Resistance",0.2,?,"A wrought iron talisman made with the visage of a mighty Steel Dragon. While quite common among defensive Runecrafted items, it is still a boon to any common soldier or mercenary."
Steel Dragon Scale Talisman +1,1,"Medium Hew Resistance, Medium Slash Resistance, Medium Bludgeon Resistance, Medium Shockwave Resistance",0.2,?,
Steel Dragon Scale Talisman +2,1,"Major Hew Resistance, Major Slash Resistance, Major Bludgeon Resistance, Major Shockwave Resistance",0.2,?,
Viridian Medallion Talisman,1,Minorly Enhanced Endurance,0.2,?,A medallion with viridian inlaid.
Viridian Medallion Talisman +1,1,Enhanced Endurance,0.2,?,A medallion with viridian inlaid.
Viridian Medallion Talisman +2,1,Greatly Enhanced Endurance,0.2,?,A medallion with viridian inlaid.
,,,,,
,,,,,
,,,,,
Cracked Brightstone Ring,1,,0,?,
Dragonguard,1,"Body Armor, Phy. Def. 2.01, Dragon Threat Sense, Dragon Breath Resistance",23,603.24 bc,"This breastplate has a dragon motif etched into its design. Created for a dragon fighting hero of Reddland, who's name has been lost to time. This armor provides good protection for the wearer's vital organs."
,,,,,
Light Arrow - Broadhead,20,Light Arrows - Standard,0.05,5 cc,
Light Arrow - Barbed Broadhead,20,"Light Arrows - Wounding ",0.05,7 cc,
Light Arrow - Bodkin,20,Light Arrows - Anti-armor,0.05,10 cc,
Light Arrow - Wood Tipped,20,Light Arrows - Survival,0.05,2 cc,
Light Arrow - Rusted Broadhead,20,Light Arrows - Shoddy,0.05,3 cc,
,,,,,
Heavy Arrow - Broadhead,20,Heavy Arrows - Standard,0.05,5 cc,
Heavy Arrow - Barbed Broadhead,20,Heavy Arrows - Wounding,0.05,7 cc,
Heavy Arrow - Bodkin,20,Heavy Arrows - Anti-armor,0.05,10 cc,
Heavy Arrow - Wood Tipped,20,Heavy Arrows - Survival,0.05,2 cc,
Heavy Arrow - Rusted Broadhead,20,Heavy Arrows - Shoddy,0.05,3 cc,
,,,,,
Light Bolt - Broadhead,20,Light Bolts - Standard,0.075,5 cc,
Light Bolt - Barbed Broadhead,20,Light Bolts - Wounding,0.075,7 cc,
Light Bolt - Bodkin,20,Light Bolts - Anti-armor,0.075,10 cc,
Light Bolt - Wood Tipped,20,Light Bolts - Survival,0.075,2 cc,
Light Bolt - Rusted Broadhead,20,Light Bolts - Shoddy,0.075,3 cc,
,,,,,
Heavy Bolt - Broadhead,20,Heavy Bolts - Standard,0.075,5 cc,
Heavy Bolt - Barbed Broadhead,20,Heavy Bolts - Wounding,0.075,7 cc,
Heavy Bolt - Bodkin,20,Heavy Bolts - Anti-armor,0.075,10 cc,
Heavy Bolt - Wood Tipped,20,Heavy Bolts - Survival,0.075,2 cc,
Heavy Bolt - Rusted Broadhead,20,Heavy Bolts - Shoddy,0.075,3 cc,
,,,,,
Sling Bullets,50,Sling Bullets - Standard,0.075,8 tc,
Blowgun Dart - Poison,20,Blowgun Darts - Poison,0.05,5 cc,
,,,,,
30 lb of gold and gems,1,,30,?,
"Guard's Uniform, Traveler's",1,,4,2 bc,
Mother's Necklace,1,,0.1,?,
Mother's Jeweled Braclet,1,,0.1,?,
Bag of Ball Bearings,1000,,0.002,10 tc,
Bell,1,,0.1,70 cc,
Block and Tackle,1,,5,70 cc,
Chain (10 feet),1,,10,3 bc,
Grappling Hook,1,,4,2 bc,
Hunting Trap,1,,25,5 bc,
Lamp,1,,1,50 cc,
"Lantern, Bullseye",1,,2,10 bc,
"Lantern, Hooded",1,,2,5 bc,
Lock,1,,1,10 bc,
Manacles,1,,6,2 bc,
"Mirror, Steel",1,,0.5,5 bc,
Whetstone,1,,1,1 cc,
Carpenter's Tools,1,,6,6 bc,
Mason's Tools,1,,8,7 bc,
Light Bowstring,1,,0.05,8 cc,
Heavy Bowstring,1,,0.05,10 cc,
Hand Crossbow Bowstring,1,,0.05,10 cc,
Light Crossbow Bowstring,1,,0.05,8 cc,
Heavy Crossbow Bowstring,1,,0.05,20 cc,
"Case, Crossbow Bolts (capacity: 20)",1,,1,1 bc,
Quiver (capacity: 20),1,,1,1 bc,
Waterskin (0/4),1,,1,20 cc,
Waterskin (4/4),1,,5,20 cc,
Cobbler's Tools,1,,5,5 bc,
Leatherworker's Tools,1,,10,5 bc,
Bagpipes,1,,6,30 bc,
Drum,1,,3,6 bc,
Alms Box,1,,1,5 bc,
Bell,1,,1,1 bc,
Blanket,1,,3,50 cc,
"Book, Scripture",1,,0.5,25 bc,
Candle,1,,0.1,1 cc,
"Case, Map or Scroll",1,,1,1 bc,
Censer,1,,1,5 bc,
Chalk (1 piece),1,,0.1,1 cc,
Flask,1,,1,2 cc,
Healer's Kit,1,,3,5 bc,
Amulet - Holy Symbol,1,,1,5 bc,
Emblem,1,,0.1,5 bc,
Reliquary,1,,2,5 bc,
Blessed Water (flask),1,,1,25 bc,
Incense (1 block),1,,0.1,1 cc,
Ink (1 ounce bottle),1,,0.1,10 bc,
Ink Pen (Fountain),1,,0.05,3 bc,
Oil (flask),1,,1,10 cc,
Paper (one sheet),1,,0,20 cc,
Parchment (one sheet),1,,0,10 cc,
Perfume (vial),1,,0.1,5 bc,
Vial of Minor Healing Factor Blood,1,Minor Healing Factor,0.25,50 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington."
Vial of Minor Healing Blood,1,Minor Heal,0.25,50 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington."
Vial of Medium Healing Blood,1,Medium Heal,0.25,250 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington."
Vial of Serious Healing Blood,1,Serious Heal,0.25,2500 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington."
Vial of Fatal Healing Blood,1,Fatal Heal,0.25,12500 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington."
Vial of Revival Healing Blood,1,Revival Heal,0.25,62500 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington."
Rations (1 day),1,,2,50 cc,
Vial,1,,0.1,1 bc,
Calligrapher's Supplies,1,,5,10 bc,
Herbalism Kit,1,,3,5 bc,
Flute,1,,2,2 bc,
Lyre,1,,2,30 bc,
Horn,1,,2,3 bc,
Sealing Wax,1,,0,10 bc,
"Common Book, Soft Bound",1,,1,5 bc,
"Common Book, Hard Bound",1,,1,2 bc,
"Uncommon Book, Soft Bound",1,,1,30 bc,
"Uncommon Book, Hard Bound",1,,1,3 bc,
"Rare Book, Soft Bound",1,,1,10 bc,
"Rare Book, Hard Bound",1,,1,5 bc,
Abacus,1,,2,2 bc,
Barrel,1,,70,2 bc,
"Bottle, glass",1,,2,2 bc,
Bucket,1,,2,5 bc,
Chest,1,300 lb container,25,5 bc,
"Clothes, Common",1,,3,50 cc,
"Clothes, Fine",1,,6,15 bc,
Royal Morraki Attire/Cloak,1,,6,15 bc,
Shoddy Morraki Attire/Cloak,1,,4,15 bc,
Flask or Tankard,1,,1,2 cc,
"Journal, Soft Bound, 25 Sheets",1,,1,7 bc,
Jug or PitcherJug or Pitcher,1,,4,2 cc,
Ladder (10-foot),1,,25,10 cc,
String (10 feet),1,,0,1 cc,
Mess Kit,1,,1,20 cc,
"Pot, Iron",1,,10,2 bc,
Pouch,1,6 lb container,1,50 cc,
"Rope, Hempen (50 feet)",1,,10,1 bc,
"Rope, Silk (50 feet)",1,,5,10 bc,
Sack,1,,0.5,1 cc,
"Scale, Merchant's",1,,3,5 bc,
,,,,,
Soap,1,,0.5,2 cc,
Vial,1,,0.2,1 bc,
Carpenter's Tools,1,,6,8 bc,
Cook's Utensils,1,,8,1 bc,
Glassblower's Tools,1,,7,30 bc,
Mason's Tools,1,,8,10 bc,
Potter's Tools,1,,3,10 bc,
Smith's Tools,1,,8,20 bc,
Weaver's Tools,1,,5,1 bc,
Woodcarver's Tools,1,,5,1 bc,
Backpack,1,30 lb container,5,2 bc,
Bedroll,1,,7,1 bc,
Block and Tackle,1,,5,1 bc,
Chain (10 feet),1,,10,5 bc,
Climber's Kit,1,,12,25 bc,
"Clothes, Traveler's",1,,4,2 bc,
Hourglass,1,,1,25 bc,
Piton,1,,0.25,5 cc,
Pole (10-foot),1,,7,5 cc,
Signal Whistle,1,,0.1,5 bc,
Spy Glass,1,,0,1000 bc,
"Tent, Two-person",1,,20,2 bc,
Tinderbox,1,,1,50 cc,
,,,,,
Cartographer's Tools,1,,6,15 bc,
Jeweler's Tools,1,,2,25 bc,
Tinker's Tools,1,,10,50 bc,
Herbalism's Kit,1,,3,5 bc,
Navigator's Kit,1,,2,25 bc,
Acid (vial),1,,0.5,25 bc,
Antitoxin (vial),1,,0.5,50 bc,
Bag of Caltrops,20,,0.1,5 cc,
"Clothes, Costume",1,,4,5 bc,
"Poison, Basic (vial)",1,,0.5,100 bc,
"Ram, Portable",1,,35,4 bc,
"Spikes, Iron",10,,0.5,10 cc,
Disguise Kit,1,,3,25 bc,
Forgery Kit,1,,5,15 bc,
Dice Set,1,,0.2,10 cc,
Playing Card Set,1,,0.2,50 cc,
Poisoner's Kit,1,,2,50 bc,
Thieves' Tools,1,,1,25 bc,
Crystal,1,Spellcasting Focus,1,10 bc,
Orb,1,Spellcasting Focus,3,20 bc,
Rod,1,Spellcasting Focus,2,10 bc,
Staff,1,"Spellcasting Focus, Large Bludgeon Melee (One-handed) (+0), Large Bludgeon Melee (Two-handed) (+0)",4,5 bc,
Wand,1,Spellcasting Focus,1,10 bc,
Satchel,1,12 lb container,2,1 bc,
Component Pouch,1,12 lb container,2,25 bc,
Spellbook,1,Spellcasting Focus,3,50 bc,
Runebook,1,Spellcasting Focus,3,50 bc,
Fishing Tackle,1,,4,1 bc,
1lb of Fishing Bait,1,,1,5 cc,
Painter's Supplies,1,,3,10 bc,
Dragonchess Set,1,,0.5,1 bc,
Three-Dragon Ante Set,1,,0.2,50 cc,
Dulcimer,1,,10,1 bc,
Lute,1,,2,35 bc,
Pan Flute,1,,2,9 bc,
Shawm,1,,1,1 bc,
Viol,1,,1,22 bc,
Basket,1,,2,40 cc,
"Cloak, Canvas",1,,5,70 cc,
"Cloak, Leather",1,,5,2 bc,
"Cloak, Leather, Lined",1,,5,4 bc,
Robes,1,,4,1 bc,
Bone Needle,5,,0,3 cc,
Steel Needle,1,,0,10 cc,
Cotton Thread (30 feet),1,,0.1,50 cc,
Leather Cord (15 feet),1,,0.2,1 bc,
Bit & Bridle,1,,1,2 bc,
Feed (per day),1,,10,5 cc,
Saddle - Exotic,1,,40,60 bc,
Saddle - Military,1,,30,20 bc,
Saddle - Pack,1,,15,5 bc,
Saddle - Riding,1,,25,10 bc,
Saddlebags,1,50 lb container,8,4 bc,
"Amulet/Necklace, Exquisite",1,,0.2,5 bc,
"Amulet/Necklace, Mundane",1,,0.2,50 cc,
"Earrings, Exquisite",1,,0.1,4 bc,
"Earrings, Mundane",1,,0.1,40 cc,
Jewelry (+ Gem value),1,,0.2,50 bc,
"Ring, Exquisite",1,,0.2,3 bc,
"Ring, Mundane",1,,0.2,30 cc,
Signet Ring,1,,0.2,5 bc,
Azurite (Deep blue),1,,0.1,10 bc,
Banded agate (Brown / Blue),1,,0.1,10 bc,
Blue quartz (Pale blue),1,,0.1,10 bc,
"Eye agate (Circles, gray / blue)",1,,0.1,10 bc,
Hematite (Opaque gray-black),1,,0.1,10 bc,
Lapis lazuli (Blue with yellow),1,,0.1,10 bc,
Malachite (Striated greens),1,,0.1,10 bc,
"Moss agate (Pale, moss marks)",1,,0.1,10 bc,
Obsidian (Opaque black),1,,0.1,10 bc,
Rhodochrosite (Light pink),1,,0.1,10 bc,
"Tiger eye (Brown, gold center)",1,,0.1,10 bc,
Turquoise (Light blue-green),1,,0.1,10 bc,
Bloodstone (Gray with red),1,,0.1,50 bc,
Carnelian (Opaque oranges),1,,0.1,50 bc,
Chalcedony (Opaque white),1,,0.1,50 bc,
Chrysoprase (Clear green),1,,0.1,50 bc,
Citrine (Pale yellow-brown),1,,0.1,50 bc,
"Jasper (Blue, black, or brown)",1,,0.1,50 bc,
Moonstone (White + glow),1,,0.1,50 bc,
"Onyx (Black, white, or both)",1,,0.1,50 bc,
Quartz (Transparent range),1,,0.1,50 bc,
Sardonyx (Red & white),1,,0.1,50 bc,
Star rose quartz (White star),1,,0.1,50 bc,
Zircon (Pale blue-green),1,,0.1,50 bc,
Amber (Watery gold),1,,0.1,100 bc,
Amethyst (Deep purple),1,,0.1,100 bc,
Chrysoberyl (Yellow-green),1,,0.1,100 bc,
Coral (Opaque crimson),1,,0.1,100 bc,
"Garnet (Red, or violet)",1,,0.1,100 bc,
Jade (Green to white),1,,0.1,100 bc,
Jet (Opaque deep black),1,,0.1,100 bc,
Pearl (Lustrous white to pink),1,,0.1,100 bc,
Spinel (Clear red to green),1,,0.1,100 bc,
Tourmaline (Pale Red / Brown),1,,0.1,100 bc,
Alexandrite (Dark green),1,,0.1,500 bc,
Aquamarine (Pale green-blue),1,,0.1,500 bc,
Black pearl (Pure black),1,,0.1,500 bc,
Bluespinel (Deep blue),1,,0.1,500 bc,
Peridot (Rich olive green),1,,0.1,500 bc,
Topaz (Golden yellow),1,,0.1,500 bc,
Black Opal (Translucent green),1,,0.1,1000 bc,
Blue sapphire (Shades of blue),1,,0.1,1000 bc,
Emerald (Deep bright green),1,,0.1,1000 bc,
Fire opal (Fiery red),1,,0.1,1000 bc,
Opal (Pale blue with green),1,,0.1,1000 bc,
Star ruby (Ruby with star),1,,0.1,1000 bc,
Star sapphire (Blue with star),1,,0.1,1000 bc,
Yellow Sapphire (Fiery yellow),1,,0.1,1000 bc,
Black Sapphire (Lustrous black),1,,0.1,5000 bc,
Diamond (Transparent),1,,0.1,5000 bc,
Jacinth (Fiery orange),1,,0.1,5000 bc,
Ruby (Shades of red),1,,0.1,5000 bc,
10 bc Gemstones,1,,0.1,10 bc,
50 bc Gemstones,1,,0.1,50 bc,
